                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.4547,                 1.2562,                 1.8067,                0.93645,                0.81492,                0.89419,                 0.5623,                 1.3394,                0.90047,                 1.9206,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.4576,                 1.2615,                 1.8107,                0.89227,                0.82278,                0.90829,                0.55905,                 1.3112,                0.87184,                 1.8741,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.4311,                 1.2353,                 1.7878,                0.86251,                0.82768,                0.89462,                0.55167,                 1.3723,                  0.945,                 1.9664,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.4519,                 1.2788,                 1.8347,                0.90087,                0.84415,                0.91465,                0.56851,                 1.2996,                0.87595,                 1.9006,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.3919,                 1.1935,                 1.7449,                0.81745,                0.81637,                0.87821,                0.55428,                 1.2569,                0.87785,                 1.8653,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.3974,                 1.1901,                  1.755,                0.89137,                0.86955,                0.92312,                0.58517,                 1.3246,                0.80914,                 1.8931,             0.00037471,             0.00037471,             0.00037471
                     50,                  1.403,                 1.1369,                 1.7295,                 0.8748,                0.85083,                0.92329,                0.58448,                 1.3057,                0.85252,                 1.9003,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.3876,                 1.1445,                 1.7538,                0.89928,                0.86512,                0.91541,                0.56013,                 1.2845,                0.81419,                 1.8566,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.3854,                 1.1122,                 1.7145,                0.89686,                0.84691,                0.91843,                0.56883,                 1.3018,                0.83979,                 1.8724,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.3701,                 1.1374,                 1.7256,                0.89912,                0.84842,                0.92108,                 0.5831,                 1.2883,                0.81234,                 1.8265,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.3698,                 1.1295,                 1.7206,                0.88974,                 0.8044,                0.89158,                0.54913,                 1.3332,                0.85242,                 1.9009,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.3461,                 1.1029,                 1.7078,                0.90075,                0.80995,                0.91626,                0.56908,                 1.3084,                0.80343,                 1.8628,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.3241,                 1.0778,                 1.6759,                0.92376,                0.84617,                0.92699,                0.59435,                 1.2706,                0.79152,                 1.8174,             0.00032523,             0.00032523,             0.00032523
                     57,                  1.342,                 1.0863,                 1.6883,                0.92277,                0.84842,                0.91611,                0.58606,                 1.2187,                0.79504,                  1.765,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.3227,                 1.0731,                 1.6839,                0.93006,                0.86124,                0.93445,                0.60142,                 1.2532,                0.78137,                 1.7906,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.3156,                 1.0395,                 1.6393,                0.89808,                0.87337,                0.94536,                0.61071,                 1.2365,                0.75481,                 1.7749,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.2893,                0.99896,                 1.6343,                0.91484,                0.82617,                 0.9353,                0.59399,                 1.2653,                0.76873,                 1.8204,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.2996,                 1.0188,                 1.6509,                0.90226,                0.87745,                0.92716,                0.59204,                 1.2521,                0.75367,                 1.7937,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.3053,                 1.0307,                 1.6286,                0.91784,                0.86956,                0.94421,                0.60981,                 1.2246,                 0.7287,                   1.77,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.2759,                 1.0143,                 1.6517,                0.87702,                0.90223,                0.94452,                 0.6302,                 1.2323,                0.71444,                 1.7769,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.2528,                0.98957,                 1.5975,                0.86287,                0.89315,                0.93861,                0.60795,                 1.2189,                 0.7558,                 1.7771,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.2338,                0.98462,                 1.5994,                0.93483,                0.86212,                0.94759,                0.57253,                 1.3642,                0.75764,                 1.9145,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.2645,                 0.9889,                 1.6208,                0.87294,                0.92709,                0.95348,                0.61703,                 1.2197,                0.69697,                 1.7874,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.2374,                0.93054,                 1.5912,                0.94668,                0.87079,                0.94866,                0.60571,                 1.2669,                0.70657,                 1.8156,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.2654,                0.95935,                 1.6219,                 0.8766,                0.92022,                0.94608,                0.61082,                  1.214,                0.69593,                 1.7652,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.2151,                0.94047,                 1.5754,                  0.943,                0.88876,                0.95345,                0.61238,                  1.254,                0.70484,                 1.7891,             0.00023334,             0.00023334,             0.00023334
                     70,                  1.223,                0.93368,                 1.5595,                0.91487,                0.86971,                0.93726,                0.61877,                 1.2316,                0.71217,                 1.7747,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.2301,                0.94535,                  1.596,                0.93755,                0.87508,                0.95847,                0.62501,                 1.2344,                0.68724,                 1.7734,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.2002,                0.91049,                 1.5529,                0.89405,                0.87413,                  0.949,                0.61395,                 1.2469,                0.72438,                 1.7614,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.2079,                 0.9146,                 1.5804,                0.93048,                0.86463,                0.94387,                0.61687,                 1.2255,                0.71014,                 1.7619,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.1724,                0.90189,                 1.5488,                0.87386,                0.91975,                0.94423,                0.61272,                 1.2505,                0.68342,                 1.7907,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.1903,                0.88721,                 1.5301,                0.87414,                 0.9046,                 0.9521,                0.62997,                  1.232,                0.66471,                 1.7593,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.1901,                0.90266,                 1.5492,                0.93043,                0.88198,                0.94759,                0.62161,                 1.2138,                0.68454,                 1.7541,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.1773,                0.90832,                 1.5375,                0.86949,                0.89034,                0.95189,                0.61617,                 1.2455,                0.67604,                 1.7902,             0.00017679,             0.00017679,             0.00017679
